code,name,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07
ABW,Aruba (Neth.),83.85,83.19,83.59,83.33,83.88,83.72,84.17,84.38,84.12,84.3,82.84,83.3,83.36,84,84.05,84.18,83.52,83.61,82.96,83.94,83.25,82.97,84.7,83.79,83.95,83.89,83.89,84.1,84.6,83.28,83.62,83.59,84.55,85.19,83.42,83.42,84.03,84.39,83.91,83.89,84.28,84.29,84.51,84.09,84.25,82.66,83.42,84.5,85.14,82.73,83.18,83.25,83.69,83.5,83.3,82.94,83.24,83.87,82.58,83.73,83.99,83.45,83.37,83.55,83.94,84.51,84.56,83.83,84.12,84.24,83.07,83.01,82.34,83.04
AFG,Afghanistan,45.23,48.2,46.9,51.54,49.22,44.52,44.46,52.07,42.46,47.87,45.69,46.12,44.36,45.08,45.41,47.22,43.32,48.16,48.64,49.16,44.05,41.35,51.28,45.81,46.16,46.66,48.42,46.39,46.61,47.63,48.33,48.41,53.75,49.88,47.86,46.66,47.23,45.01,46.78,47.04,47.92,51.81,50.57,47.18,47.96,46.16,46.24,48.54,45.88,45.98,41.11,39.06,42.31,44.4,42.67,47.22,45.07,46.06,43.12,47.71,42.63,43.94,45.78,45,44.12,46.47,43.04,41.52,40.42,45.75,45.45,37.23,44.12,44.03
AGO,Angola,62.91,63.49,61.4,62.65,49.3,59.12,58.3,63.87,61.04,64.95,66.3,68.18,65.69,68.94,63.68,63.34,64.35,66.57,64.28,66.07,63.34,63.5,64.67,62.25,65.98,64.47,66.31,64.1,63.87,64.67,59.14,60.07,64.39,62.5,63.09,60.62,63.85,62.09,64.58,62.01,63.88,63,63.13,64.32,61.48,61.81,59.67,61.74,61.28,62.56,61.86,63.11,63.63,62.4,62.8,61.86,64.07,61.12,60.85,61.3,62.25,62.95,60.08,59.4,61.11,59.84,61.16,61.41,61.43,59.58,61.82,60.32,61.23,60.86
AIA,Anguilla (U.K.),79.06,78.78,77.75,78.45,78.81,78.84,78.83,79.1,79.44,78.52,78.88,79.52,79.01,79.49,78.07,78.82,78.53,77.75,77.78,78.85,78.52,78.94,79.71,78.96,79.69,78.5,79.15,79.57,79.9,79.39,78.71,79.74,79.41,79.96,79.65,79.51,79.76,80.61,79.24,80.25,79.64,78.98,79.77,79.81,79.09,79.36,79.22,79.24,80.2,78.97,77.31,78.96,79.03,79.74,78.87,79.09,79.4,79.47,78.75,79.39,79.32,79.19,79.14,79.66,79.75,79.45,80.47,79.86,78.96,78.96,79.17,78.4,78.53,78.6
ALA,Finland,81.41,80.67,80.85,81.49,82.38,79.91,81.11,82.49,82.61,80.28,83.43,82.21,81.99,80.52,81.29,80.72,81.38,82,80.92,80,81.46,80.36,82.63,79.76,81.64,78.72,78.68,82.36,79.85,82.73,82.75,81.64,81.5,80.98,83.33,82.75,82.45,83.23,81.17,80.51,80.65,81.87,79.69,78.67,80.46,80.11,81.41,78.72,81.4,80.37,81.89,80.42,79.11,81.69,81.24,81.05,81.99,80.54,80.48,80.7,82.31,82.09,81.3,81.13,81.53,80.46,81.23,80.21,78.9,80.21,78.61,79.46,78.77,80.53
ALB,Albania,66.74,71.72,69.09,69.79,72.7,75.02,71.41,72.51,71.77,75.44,73.34,68.47,70.87,75.5,74.46,72.66,76,72.85,72.73,73.79,73.13,72.51,75.6,72.81,73.21,72.17,75.18,71.26,73.59,74.15,74.01,73.68,71.02,72.02,72.09,69.94,72.69,70.62,70.88,72.56,70.44,73.22,71,70.55,70.91,73.99,73.94,70.5,72.63,74.14,70.32,72.41,74.34,69.45,72.52,72.57,71.67,70.11,71.94,72.72,73.67,68.66,69.21,71.12,74.74,68.59,71.09,67.21,71.44,70.39,69.43,68.75,67.99,71.14
AND,Andorra,70.73,77.15,74.03,71.72,75.16,75.63,74.52,74.01,74.51,76.6,76.66,72.96,74.13,76.43,74.55,74.96,76.37,74.62,76.22,77.8,74.89,75.82,79.86,72.63,77.59,76.17,75.74,77.89,76.22,76.84,74.19,74.71,77.43,71.23,75.22,73.5,75.41,76.34,74.52,74.34,76.04,74.63,76.39,72.98,72.27,75.22,77.37,74.32,73.31,74.94,73.52,74.07,75.25,74.57,73.43,70.2,71.37,70.18,73.69,71.27,73.64,71.96,70.27,73.38,75.18,70.33,73.87,70.48,77.47,70.85,76.7,76.42,70.1,67.33
ARE,United Arab Emirates,45.43,45.8,45.71,45.5,43.24,46.15,44.73,47.72,44.91,50.41,47.22,47.13,44.09,48.88,47.94,45.95,45.18,47.47,47.87,48.39,49.51,46.77,51.13,46.6,47.37,48.91,49.49,46.81,49.23,47.06,48.06,46.91,52.57,52.5,46.58,48.43,47.31,47.63,50.17,48.98,49.76,49.7,49.35,50.24,46.77,50.71,49.87,52.01,49.04,46.72,46.14,45.79,46.87,46.76,46.33,47.72,46.81,47.12,45.24,45.89,44.84,45.33,43.96,47.96,47.05,44.12,48.97,45.79,44.24,45.32,46.03,45.51,45.96,47.1
ARG,Argentina,58.8,63.49,62.57,64.6,63.45,61.79,62.03,62.13,64.15,62.59,59.72,61.14,57.61,63.16,59.9,59.44,60.36,60.83,60.19,59.62,58.05,58.07,61.67,62.2,60.84,61.49,60.93,62.07,61.27,61.27,60.5,62.36,63.11,61.98,65.54,63.61,62.36,62.15,57.91,59.18,61.01,63,63.81,60.86,60.05,56.79,58.92,61.44,61.8,61.64,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01
ARM,Armenia,71.26,73.18,70.34,72.95,72.3,72.13,71.02,72.59,70.64,72.77,71.68,67.77,71.22,75.88,71.88,72.86,71.81,73.34,72.46,72.95,70.22,68.88,71.72,71.17,73.48,70.5,72.81,71.94,71.28,71.33,69.64,71.89,72.77,72.21,72.75,70.79,73.62,71.63,74.41,70.21,70.03,71.01,71.63,72.24,73.13,70.7,71.37,70.32,69.53,67.64,65.98,67.32,69.35,72.94,70.38,72.07,69.56,72.41,69.72,72.07,69.38,71.94,71.09,69.48,70.42,70.05,70.94,67.93,72.18,67.99,69.35,67.25,67.29,68.27
