code,name,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07
ABW,Aruba (Neth.),22.04,23.22,23.03,23.31,23.23,22.79,22.66,23.09,24.25,23.85,23.79,23.96,23.09,23.57,23.06,22.7,23.73,23.34,23.07,23.64,23.52,23.12,22.92,23.32,22.95,22.65,22.8,23.56,23.78,23.17,23.65,24.1,23.23,24.21,23.64,23.21,23.52,24.37,23.57,22.34,23.02,23.68,23.93,24.28,23.46,23.76,23.65,23.72,24.18,23.24,22.64,23.81,23.49,24.33,23.87,23.83,23.82,24.07,23.58,23.69,24.35,23.6,23.66,23.7,23.89,24.23,24.37,23.28,23.15,24.01,23.81,24.13,23.41,23.78
AFG,Afghanistan,-19.61,-18.42,-15.91,-14.45,-15.5,-13.74,-13.78,-15.78,-12.08,-16.16,-13.46,-15.69,-15.34,-15.31,-21.38,-14.33,-15.43,-18.75,-17.75,-16.8,-13.87,-16.4,-19.52,-19.43,-18.5,-16.38,-13.65,-17.85,-17.6,-14.77,-17.43,-13.77,-15.48,-15.24,-18.92,-14.37,-16.19,-11.97,-13.17,-15.58,-17.49,-16.4,-15.24,-16.55,-15.37,-13.55,-18.97,-15.62,-14.71,-15.45,-15.94,-15.7,-15.98,-14.77,-12.82,-14.65,-17.26,-14.9,-20.35,-12.51,-14.59,-14.49,-17.11,-15.57,-17.15,-13.29,-11.36,-13.92,-11.72,-12.45,-14.4,-13.94,-13.24,-21.4
AGO,Angola,8.47,8.55,8.92,9.06,8.03,8.89,8.27,8.02,8.24,9.8,8.32,9.28,8.03,8.62,8.03,8.93,10.21,8.24,7.59,10.48,8.84,9.81,8.38,9.46,8.3,9.19,8.43,9.79,9.18,8.67,9.08,9.3,9.16,9.42,9.67,8.42,9.66,9.33,8.57,9.8,10.6,9.8,9.55,11.01,7.75,10.17,9.44,9.25,11.3,10.45,10.47,9.24,10.57,10.18,9.95,10.77,9.61,10.05,9.62,10.33,10.33,9.15,9.5,10.68,9.96,10.82,10.67,11.65,11.11,11.64,10.51,11.22,11.03,9.7
AIA,Anguilla (U.K.),21.23,21.64,22.06,22.13,22.33,21.24,22.43,22.35,23.02,22.89,23.35,22.92,22.27,22.37,21.84,21.49,22.36,21.7,21.64,21.31,21.97,22.11,21.11,22.24,21.81,22.08,21.33,22.29,22.92,21.92,22.95,21.86,21.95,22.59,22.14,21.55,21.9,22.69,22.64,21.6,22.22,21.56,22.85,22.19,23,22.25,22.43,22.43,23.21,21.93,21.48,22.13,22.24,22.81,22.09,21.65,22.37,22.89,21.22,22.19,23.4,21.87,22.09,22.63,22.9,23.05,22.3,22.12,22.13,22.49,22.81,22.57,22.25,22.36
ALA,Finland,-13.55,-10.47,-10.27,-16.23,-14.09,-10.9,-18.49,-13.03,-12.54,-7.85,-12.31,-8.2,-10.9,-12.5,-12.33,-13.27,-17,-14.5,-13.35,-11.9,-14.12,-13.23,-10.65,-9.56,-5.04,-7.36,-11.45,-14.56,-16.15,-24.62,-16.64,-13.75,-15.82,-11.08,-11.84,-22.7,-18.15,-28,-7.9,-8.26,-5.45,-9,-7.09,-9.39,-16.67,-9.06,-16.09,-10.18,-9.51,-15.65,-7.55,-16.26,-10.65,-20.54,-9.67,-13.42,-14.44,-14.36,-4.55,-7.57,-15.64,-14.58,-12.62,-10.4,-8.87,-5.33,-12.05,-9.32,-12.36,-8.23,-3.43,-9.93,-6.82,-6.94
ALB,Albania,-10.63,-8.41,-8.38,-10.37,-12.67,-10.7,-15.11,-9.37,-7.66,-11.43,-10.95,-12.04,-9.11,-16.35,-10.47,-12.38,-10.76,-12.94,-16.59,-8.55,-11.92,-10.49,-5.58,-10.47,-6.82,-7.39,-10.47,-7.48,-9.53,-16.62,-13.72,-8.36,-7.98,-10.39,-6.28,-12.75,-12.52,-12.31,-10,-9.43,-8.07,-13.93,-11.56,-11.03,-6.09,-9.54,-11.08,-6.12,-9.66,-9.12,-14.46,-13.7,-10.96,-10.88,-12.89,-11.4,-13.1,-8.57,-9.43,-8.32,-9.9,-12.24,-13.42,-5.65,-8.63,-9.82,-10.36,-13.74,-5.35,-12.54,-5.61,-12.68,-11.19,-6.62
AND,Andorra,-19.15,-13.1,-17.8,-16.19,-21.18,-18.36,-25.14,-17.27,-15.82,-14.38,-20.9,-12.78,-19.6,-20.56,-18.91,-16.57,-16.04,-19.3,-18.04,-18.07,-19.08,-21.25,-15.3,-19.29,-12.43,-14.06,-14.57,-16.82,-18.75,-16.41,-18.27,-16.83,-13.86,-19.01,-15.77,-25.16,-21.21,-18.7,-13.92,-14.74,-18,-18.7,-12.97,-15.28,-17.26,-17.01,-14.87,-13.23,-14.1,-18.99,-15.38,-20.15,-14.66,-18.32,-14.08,-19.76,-12.12,-14.4,-16.11,-17.19,-20.48,-19.71,-21.3,-13.69,-12.51,-15.15,-12.53,-20.18,-16.47,-15.38,-14.53,-17.43,-11.9,-14.62
ARE,United Arab Emirates,5.19,6.55,6.71,8.01,8.4,8.36,8.09,5.82,7.44,6.41,6.98,9.59,7.57,5.24,5.51,5.81,9.38,6.99,6.73,7.62,8.14,7.44,6.61,5.69,7.38,7.6,7.09,7.77,8.5,8.2,8.14,9.48,8.87,6.76,8.63,8.94,7.59,8.76,7.1,7.2,8.16,6.57,5.34,7.62,8.89,9.64,9.34,8.74,8.56,9.99,9.98,7.01,8.33,7.21,8.63,8.83,8.11,7.79,6.93,8.1,9.59,9.13,6.85,7.97,9.15,9.22,8.91,8.25,9.54,10.08,9.23,8.67,10.28,11.45
ARG,Argentina,-2.66,-1.83,-3.38,-3.39,-2.73,-6.44,-2.57,-5.73,-3.4,-2.28,-7.03,-6.79,-5.41,-3.97,-4.47,-6.11,-5.04,-6.46,-2.3,-4.89,-4.87,-4.86,-5.21,-5.39,-3.61,-6.08,-6.01,-3.85,-4.24,-4.43,-5.5,-5.49,-4.38,-4.79,-6.01,-4.5,-2.51,-4.59,-6.63,-5.6,-4.68,-6.05,-6.32,-6.43,-5.7,-5.85,-5.66,-3.2,-1.68,-4.71,-7.26,-6.17,-5.42,-3.47,-4.48,-4.32,-4.2,-7.05,-4.12,-5.4,-6.27,-5.61,-5.32,-5.95,-4.26,-3.13,-3.13,-5.04,-4.69,-4.11,-5.32,-4.76,-4.06,-3.76
ARM,Armenia,-24.83,-18.94,-15.54,-19.65,-19.51,-17.19,-20.02,-19.24,-17.54,-20.65,-17.83,-20.55,-16.72,-20.26,-24.2,-18.59,-13.22,-24.95,-18.62,-19.53,-17.29,-22.55,-23.49,-19.38,-19.01,-18.17,-19.11,-19.26,-16.44,-16.44,-22.87,-13.09,-19.85,-20.86,-18.23,-23.32,-18.55,-18.49,-17.87,-19.76,-19.63,-19.76,-21.16,-19.04,-21.39,-19.73,-20.73,-20.3,-20.59,-14.57,-18.51,-18.02,-21.41,-16.05,-20.54,-18.67,-19.25,-18.78,-23.34,-19.22,-17.23,-17.29,-18.86,-17.47,-22.53,-18.52,-21.64,-20.54,-14.21,-14.68,-20.95,-19.6,-19.41,-18.31
