Mean temperature (°C),Mean precipitation (mm),Mean relative humidity (%),Urban population (%),GDP per capita (PPP),International tourism arrivals,International tourism departures,Population density (people/km²),Population size,Log incidence rate,meanshift_cluster
25.76,1216.84,83.85,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,38798.0,0.0,0
26.46,654.96,83.19,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,40231.0,0.0,0
26.43,542.02,83.59,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,41758.0,0.0,0
26.47,535.42,83.33,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,43305.0,0.0,0
26.01,730.79,83.88,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,44869.0,0.0,0
25.98,958.32,83.72,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,46464.0,0.0,0
25.95,873.32,84.17,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,48094.0,0.0,0
26.2,436.95,84.38,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,49747.0,0.0,0
26.96,498.47,84.12,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,51404.0,0.0,0
26.31,488.62,84.3,50.997445082555636,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,53044.0,0.0,0
26.74,551.34,82.84,50.776,16149.92825119405,8492220.782080764,10890109.50999668,257.6040620983959,54608.0,0.0,0
26.39,724.29,83.3,50.761,16149.92825119405,8492220.782080764,10890109.50999668,308.766666666667,55811.0,0.0,0
26.43,501.37,83.36,50.746,16149.92825119405,8492220.782080764,10890109.50999668,312.888888888889,56682.0,0.0,0
26.46,518.06,84.0,50.73,16149.92825119405,8492220.782080764,10890109.50999668,316.677777777778,57475.0,0.0,0
26.21,575.47,84.05,50.715,16149.92825119405,8492220.782080764,10890109.50999668,320.105555555556,58178.0,0.0,0
26.11,589.34,84.18,50.7,16149.92825119405,8492220.782080764,10890109.50999668,323.277777777778,58782.0,0.0,0
26.41,843.85,83.52,50.685,16149.92825119405,8492220.782080764,10890109.50999668,326.077777777778,59291.0,0.0,0
26.12,579.79,83.61,50.67,16149.92825119405,8492220.782080764,10890109.50999668,327.722222222222,59522.0,0.0,0
26.32,683.35,82.96,50.654,16149.92825119405,8492220.782080764,10890109.50999668,328.161111111111,59471.0,0.0,0
26.82,851.02,83.94,50.639,16149.92825119405,8492220.782080764,10890109.50999668,328.066666666667,59330.0,0.0,0
26.55,1008.97,83.25,50.624,16149.92825119405,8492220.782080764,10890109.50999668,327.5,59106.0,0.0,0
26.05,591.35,82.97,50.609,16149.92825119405,8492220.782080764,10890109.50999668,326.561111111111,58816.0,0.0,0
26.29,569.4,84.7,50.593,16149.92825119405,8492220.782080764,10890109.50999668,322.483333333333,58856.0,0.0,0
26.46,1099.62,83.79,50.578,16149.92825119405,8492220.782080764,10890109.50999668,323.883333333333,59365.0,0.0,0
25.91,1025.88,83.95,50.563,16149.92825119405,8492220.782080764,10890109.50999668,324.161111111111,60028.0,0.0,0
