adm_0_iso3,year,region_un,TPopulation1July_per_1000,pop_density_per_km2,era5_hur_annual_mean_relative_humidity,era5_pr_annual_mean_precipitation,era5_tas_annual_mean_temp,era5_tnn_annual_min_temp,urban_growth,gdp_ppp,tourism_arrivals,tourism_departures,dengue_total,TPopulation1July,incidence,incidence_per_100k,log_incidence_per_100k
ABW,1961.0,Other,55.811,308.766666666667,83.3,724.29,26.39,23.96,1.15867889277515,..,..,..,0.0,55811.0,0.0,0.0,0.0
ABW,1962.0,Other,56.682,312.888888888889,83.36,501.37,26.43,23.09,1.29597531557886,..,..,..,0.0,56682.0,0.0,0.0,0.0
ABW,1963.0,Other,57.475,316.677777777778,84.0,518.06,26.46,23.57,1.17224849682195,..,..,..,0.0,57475.0,0.0,0.0,0.0
ABW,1964.0,Other,58.178,320.105555555556,84.05,575.47,26.21,23.06,1.04579714018536,..,..,..,0.0,58178.0,0.0,0.0,0.0
ABW,1965.0,Other,58.782,323.277777777778,84.18,589.34,26.11,22.7,0.957042878606285,..,..,..,0.0,58782.0,0.0,0.0,0.0
ABW,1966.0,Other,59.291,326.077777777778,83.52,843.85,26.41,23.73,0.833746032345883,..,..,..,0.0,59291.0,0.0,0.0,0.0
ABW,1967.0,Other,59.522,327.722222222222,83.61,579.79,26.12,23.34,0.472845831453038,..,..,..,0.0,59522.0,0.0,0.0,0.0
ABW,1968.0,Other,59.471,328.161111111111,82.96,683.35,26.32,23.07,0.103659871180511,..,..,..,0.0,59471.0,0.0,0.0,0.0
ABW,1969.0,Other,59.33,328.066666666667,83.94,851.02,26.82,23.64,-0.0601765196014374,..,..,..,0.0,59330.0,0.0,0.0,0.0
ABW,1970.0,Other,59.106,327.5,83.25,1008.97,26.55,23.52,-0.200850333647199,..,..,..,0.0,59106.0,0.0,0.0,0.0
ABW,1971.0,Other,58.816,326.561111111111,82.97,591.35,26.05,23.12,-0.31884036341115,..,..,..,0.0,58816.0,0.0,0.0,0.0
ABW,1972.0,Other,58.856,322.483333333333,84.7,569.4,26.29,22.92,-1.28562566465206,..,..,..,0.0,58856.0,0.0,0.0,0.0
ABW,1973.0,Other,59.365,323.883333333333,83.79,1099.62,26.46,23.32,0.400992823309479,..,..,..,0.0,59365.0,0.0,0.0,0.0
ABW,1974.0,Other,60.028,324.161111111111,83.95,1025.88,25.91,22.95,0.0576378662823076,..,..,..,0.0,60028.0,0.0,0.0,0.0
ABW,1975.0,Other,60.715,323.861111111111,83.89,956.68,25.89,22.65,-0.1220959961751,..,..,..,0.0,60715.0,0.0,0.0,0.0
ABW,1976.0,Other,61.193,324.266666666667,83.89,554.73,25.94,22.8,0.0949764326338618,..,..,..,0.0,61193.0,0.0,0.0,0.0
ABW,1977.0,Other,61.465,325.444444444444,84.1,502.57,26.41,23.56,0.331708942115102,..,..,..,0.0,61465.0,0.0,0.0,0.0
ABW,1978.0,Other,61.738,326.533333333333,84.6,650.28,26.44,23.78,0.303664448205213,..,..,..,0.0,61738.0,0.0,0.0,0.0
ABW,1979.0,Other,62.006,328.838888888889,83.28,852.92,26.62,23.17,0.6748728755313,..,..,..,0.0,62006.0,0.0,0.0,0.0
ABW,1980.0,Other,62.266,332.827777777778,83.62,559.9,26.72,23.65,1.17431199272958,..,..,..,0.0,62266.0,0.0,0.0,0.0
ABW,1981.0,Other,62.614,336.461111111111,83.59,887.79,26.75,24.1,1.05601770896721,..,..,..,0.0,62614.0,0.0,0.0,0.0
ABW,1982.0,Other,63.116,340.422222222222,84.55,502.99,26.26,23.23,1.13885329408148,..,..,..,0.0,63116.0,0.0,0.0,0.0
ABW,1983.0,Other,63.683,345.711111111111,85.19,381.42,26.63,24.21,1.51238292942866,..,..,..,0.0,63683.0,0.0,0.0,0.0
ABW,1984.0,Other,64.174,349.45,83.42,725.95,26.12,23.64,1.04616728942429,..,..,..,0.0,64174.00000000001,0.0,0.0,0.0
ABW,1985.0,Other,64.478,342.933333333333,83.42,926.61,26.1,23.21,-1.91355314271703,..,..,..,0.0,64477.99999999999,0.0,0.0,0.0
ABW,1986.0,Other,64.553,332.95,84.03,738.16,26.19,23.52,-2.98549113983517,..,..,..,0.0,64553.0,0.0,0.0,0.0
ABW,1987.0,Other,64.45,328.661111111111,84.39,613.59,26.91,24.37,-1.32695152354029,..,..,..,0.0,64450.0,0.0,0.0,0.0
ABW,1988.0,Other,64.332,329.616666666667,83.91,1084.52,26.5,23.57,0.261446820508077,..,..,..,0.0,64331.99999999999,0.0,0.0,0.0
ABW,1989.0,Other,64.596,335.794444444444,83.89,593.05,26.18,22.34,1.82767082219355,..,..,..,0.0,64596.0,0.0,0.0,0.0
ABW,1990.0,Other,65.712,348.627777777778,84.28,826.75,26.38,23.02,3.71972368556136,21732.8583139266,..,..,0.0,65712.0,0.0,0.0,0.0
ABW,1991.0,Other,67.864,366.088888888889,84.29,501.56,26.32,23.68,4.85533755052239,23099.9400860323,..,..,0.0,67864.0,0.0,0.0,0.0
ABW,1992.0,Other,70.192,383.361111111111,84.51,493.83,26.47,23.93,4.00059261376928,23889.0450169367,..,..,0.0,70192.0,0.0,0.0,0.0
ABW,1993.0,Other,72.36,409.361111111111,84.09,594.2,26.61,24.28,5.73918741821349,24575.6606597482,..,..,0.0,72360.0,0.0,0.0,0.0
